scenario,age,v.eff,risk,pop.size,cost.diff,cases,cases.per100k,cases.averted,cases.averted.per100k,icer.case.averted,deaths,deaths.per100k,deaths.averted,deaths.averted.per100k,icer.death.averted,dalys,dalys.per100k,dalys.averted,dalys.averted.per100k,icer.daly.averted
vax6667,20-64 yrs,30,All,2235049,na,na,na,na,na,488.21,na,na,na,na,230399.98,na,na,na,na,5853.42
vax6667,65+ yrs,30,High,157981.7,na,na,na,na,na,4876.78,na,na,na,na,185276.10,na,na,na,na,12922.77
vax6667,65+ yrs,30,Non-high,150576.3,na,na,na,na,na,492.85,na,na,na,na,142577.20,na,na,na,na,9776.87
vax6667,65+ yrs,30,All,308558,na,na,na,na,na,2737.42,na,na,na,na,180526.02,na,na,na,na,12567.47
vax6667,All,30,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax6667,All,30,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax6667,All,30,All,3406876,na,na,na,na,na,550.51,na,na,na,na,261118.06,na,na,na,na,7744.85
vax6667,0-4 yrs,40,High,14310.91,na,na,na,na,na,1400.44,na,na,na,na,215244.40,na,na,na,na,2775.60
vax6667,0-4 yrs,40,Non-high,209297.09,na,na,na,na,na,172.43,na,na,na,na,1270335.00,na,na,na,na,15014.25
vax6667,0-4 yrs,40,All,223608,na,na,na,na,na,251.03,na,na,na,na,461907.29,na,na,na,na,5832.22
vax6667,5-19 yrs,40,High,40938.3,na,na,na,na,na,2954.35,na,na,na,na,453207.20,na,na,na,na,6699.26
vax6667,5-19 yrs,40,Non-high,598722.7,na,na,na,na,na,270.65,na,na,na,na,1992323.00,na,na,na,na,26670.80
vax6667,5-19 yrs,40,All,639661,na,na,na,na,na,442.40,na,na,na,na,812716.69,na,na,na,na,11728.00
vax6667,20-64 yrs,40,High,321847.06,na,na,na,na,na,2265.90,na,na,na,na,175435.80,na,na,na,na,4501.15
vax6667,20-64 yrs,40,Non-high,1913201.94,na,na,na,na,na,306.22,na,na,na,na,1011723.00,na,na,na,na,24013.46
vax6667,20-64 yrs,40,All,2235049,na,na,na,na,na,588.42,na,na,na,na,277689.67,na,na,na,na,7054.84
vax6667,65+ yrs,40,High,157981.7,na,na,na,na,na,5042.39,na,na,na,na,191567.80,na,na,na,na,13361.61
vax6667,65+ yrs,40,Non-high,150576.3,na,na,na,na,na,658.46,na,na,na,na,190485.90,na,na,na,na,13062.16
vax6667,65+ yrs,40,All,308558,na,na,na,na,na,2903.03,na,na,na,na,191447.43,na,na,na,na,13327.79
vax6667,All,40,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax6667,All,40,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax6667,All,40,All,3406876,na,na,na,na,na,628.71,na,na,na,na,302157.78,na,na,na,na,8910.00
vax6667,0-4 yrs,50,High,14310.91,na,na,na,na,na,1409.14,na,na,na,na,216580.80,na,na,na,na,2792.83
vax6667,0-4 yrs,50,Non-high,209297.09,na,na,na,na,na,181.13,na,na,na,na,1334395.00,na,na,na,na,15771.43
vax6667,0-4 yrs,50,All,223608,na,na,na,na,na,259.72,na,na,na,na,477907.72,na,na,na,na,6034.24
vax6667,5-19 yrs,50,High,40938.3,na,na,na,na,na,2958.32,na,na,na,na,453816.20,na,na,na,na,6708.26
vax6667,5-19 yrs,50,Non-high,598722.7,na,na,na,na,na,274.62,na,na,na,na,2021547.00,na,na,na,na,27062.03
vax6667,5-19 yrs,50,All,639661,na,na,na,na,na,446.37,na,na,na,na,820009.59,na,na,na,na,11833.24
vax6667,20-64 yrs,50,High,321847.06,na,na,na,na,na,2275.36,na,na,na,na,176168.50,na,na,na,na,4519.95
vax6667,20-64 yrs,50,Non-high,1913201.94,na,na,na,na,na,315.69,na,na,na,na,1042992.00,na,na,na,na,24755.63
vax6667,20-64 yrs,50,All,2235049,na,na,na,na,na,597.88,na,na,na,na,282156.09,na,na,na,na,7168.31
vax6667,65+ yrs,50,High,157981.7,na,na,na,na,na,5058.41,na,na,na,na,192176.50,na,na,na,na,13404.07
vax6667,65+ yrs,50,Non-high,150576.3,na,na,na,na,na,674.48,na,na,na,na,195120.80,na,na,na,na,13379.99
vax6667,65+ yrs,50,All,308558,na,na,na,na,na,2919.05,na,na,na,na,192504.01,na,na,na,na,13401.35
vax6667,All,50,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax6667,All,50,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax6667,All,50,All,3406876,na,na,na,na,na,636.03,na,na,na,na,306111.10,na,na,na,na,9021.88
vax6667,0-4 yrs,60,High,14310.91,na,na,na,na,na,1420.76,na,na,na,na,218367.30,na,na,na,na,2815.86
vax6667,0-4 yrs,60,Non-high,209297.09,na,na,na,na,na,192.75,na,na,na,na,1420023.00,na,na,na,na,16783.54
vax6667,0-4 yrs,60,All,223608,na,na,na,na,na,271.34,na,na,na,na,499294.89,na,na,na,na,6304.28
vax6667,5-19 yrs,60,High,40938.3,na,na,na,na,na,2963.48,na,na,na,na,454606.70,na,na,na,na,6719.95
vax6667,5-19 yrs,60,Non-high,598722.7,na,na,na,na,na,279.77,na,na,na,na,2059483.00,na,na,na,na,27569.90
vax6667,5-19 yrs,60,All,639661,na,na,na,na,na,451.53,na,na,na,na,829476.74,na,na,na,na,11969.87
vax6667,20-64 yrs,60,High,321847.06,na,na,na,na,na,2287.90,na,na,na,na,177138.80,na,na,na,na,4544.85
vax6667,20-64 yrs,60,Non-high,1913201.94,na,na,na,na,na,328.22,na,na,na,na,1084395.00,na,na,na,na,25738.34
vax6667,20-64 yrs,60,All,2235049,na,na,na,na,na,610.41,na,na,na,na,288070.15,na,na,na,na,7318.56
vax6667,65+ yrs,60,High,157981.7,na,na,na,na,na,5079.27,na,na,na,na,192969.00,na,na,na,na,13459.35
vax6667,65+ yrs,60,Non-high,150576.3,na,na,na,na,na,695.34,na,na,na,na,201155.80,na,na,na,na,13793.83
vax6667,65+ yrs,60,All,308558,na,na,na,na,na,2939.91,na,na,na,na,193879.77,na,na,na,na,13497.13
vax6667,All,60,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax6667,All,60,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax6667,All,60,All,3406876,na,na,na,na,na,645.49,na,na,na,na,311361.50,na,na,na,na,9167.39
vax7777,0-4 yrs,30,High,14310.91,na,na,na,na,na,1361.07,na,na,na,na,209192.40,na,na,na,na,2697.57
vax7777,0-4 yrs,30,Non-high,209297.09,na,na,na,na,na,133.06,na,na,na,na,980244.00,na,na,na,na,11585.58
vax7777,0-4 yrs,30,All,223608,na,na,na,na,na,211.65,na,na,na,na,389451.76,na,na,na,na,4917.37
vax7777,5-19 yrs,30,High,40938.3,na,na,na,na,na,2937.75,na,na,na,na,450659.90,na,na,na,na,6661.60
vax7777,5-19 yrs,30,Non-high,598722.7,na,na,na,na,na,254.04,na,na,na,na,1870085.00,na,na,na,na,25034.41
vax7777,5-19 yrs,30,All,639661,na,na,na,na,na,425.80,na,na,na,na,782211.86,na,na,na,na,11287.79
vax7777,20-64 yrs,30,High,321847.06,na,na,na,na,na,2223.34,na,na,na,na,172140.80,na,na,na,na,4416.61
vax7777,20-64 yrs,30,Non-high,1913201.94,na,na,na,na,na,263.67,na,na,na,na,871118.70,na,na,na,na,20676.18
vax7777,20-64 yrs,30,All,2235049,na,na,na,na,na,545.86,na,na,na,na,257605.75,na,na,na,na,6544.59
vax7777,65+ yrs,30,High,157981.7,na,na,na,na,na,5012.30,na,na,na,na,190424.80,na,na,na,na,13281.89
vax7777,65+ yrs,30,Non-high,150576.3,na,na,na,na,na,628.37,na,na,na,na,181782.40,na,na,na,na,12465.32
vax7777,65+ yrs,30,All,308558,na,na,na,na,na,2872.95,na,na,na,na,189463.35,na,na,na,na,13189.67
vax7777,All,30,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7777,All,30,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7777,All,30,All,3406876,na,na,na,na,na,596.77,na,na,na,na,286822.98,na,na,na,na,8458.90
vax7777,0-4 yrs,40,High,14310.91,na,na,na,na,na,1396.13,na,na,na,na,214580.60,na,na,na,na,2767.03
vax7777,0-4 yrs,40,Non-high,209297.09,na,na,na,na,na,168.11,na,na,na,na,1238516.00,na,na,na,na,14638.24
vax7777,0-4 yrs,40,All,223608,na,na,na,na,na,246.71,na,na,na,na,453959.98,na,na,na,na,5731.87
vax7777,5-19 yrs,40,High,40938.3,na,na,na,na,na,2953.14,na,na,na,na,453020.20,na,na,na,na,6696.50
vax7777,5-19 yrs,40,Non-high,598722.7,na,na,na,na,na,269.43,na,na,na,na,1983350.00,na,na,na,na,26550.71
vax7777,5-19 yrs,40,All,639661,na,na,na,na,na,441.19,na,na,na,na,810477.43,na,na,na,na,11695.69
vax7777,20-64 yrs,40,High,321847.06,na,na,na,na,na,2261.53,na,na,na,na,175097.40,na,na,na,na,4492.47
vax7777,20-64 yrs,40,Non-high,1913201.94,na,na,na,na,na,301.85,na,na,na,na,997283.10,na,na,na,na,23670.72
vax7777,20-64 yrs,40,All,2235049,na,na,na,na,na,584.05,na,na,na,na,275627.09,na,na,na,na,7002.44
vax7777,65+ yrs,40,High,157981.7,na,na,na,na,na,5067.00,na,na,na,na,192502.70,na,na,na,na,13426.83
vax7777,65+ yrs,40,Non-high,150576.3,na,na,na,na,na,683.07,na,na,na,na,197605.00,na,na,na,na,13550.34
vax7777,65+ yrs,40,All,308558,na,na,na,na,na,2927.64,na,na,na,na,193070.32,na,na,na,na,13440.78
vax7777,All,40,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7777,All,40,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7777,All,40,All,3406876,na,na,na,na,na,626.18,na,na,na,na,301848.35,na,na,na,na,8889.88
vax7777,0-4 yrs,50,High,14310.91,na,na,na,na,na,1404.39,na,na,na,na,215850.40,na,na,na,na,2783.40
vax7777,0-4 yrs,50,Non-high,209297.09,na,na,na,na,na,176.38,na,na,na,na,1299382.00,na,na,na,na,15357.65
vax7777,0-4 yrs,50,All,223608,na,na,na,na,na,254.97,na,na,na,na,469162.40,na,na,na,na,5923.82
vax7777,5-19 yrs,50,High,40938.3,na,na,na,na,na,2956.69,na,na,na,na,453564.80,na,na,na,na,6704.55
vax7777,5-19 yrs,50,Non-high,598722.7,na,na,na,na,na,272.98,na,na,na,na,2009482.00,na,na,na,na,26900.55
vax7777,5-19 yrs,50,All,639661,na,na,na,na,na,444.74,na,na,na,na,816998.97,na,na,na,na,11789.80
vax7777,20-64 yrs,50,High,321847.06,na,na,na,na,na,2270.38,na,na,na,na,175782.40,na,na,na,na,4510.05
vax7777,20-64 yrs,50,Non-high,1913201.94,na,na,na,na,na,310.70,na,na,na,na,1026514.00,na,na,na,na,24364.52
vax7777,20-64 yrs,50,All,2235049,na,na,na,na,na,592.89,na,na,na,na,279802.43,na,na,na,na,7108.51
vax7777,65+ yrs,50,High,157981.7,na,na,na,na,na,5079.73,na,na,na,na,192986.70,na,na,na,na,13460.58
vax7777,65+ yrs,50,Non-high,150576.3,na,na,na,na,na,695.81,na,na,na,na,201290.00,na,na,na,na,13803.03
vax7777,65+ yrs,50,All,308558,na,na,na,na,na,2940.38,na,na,na,na,193910.36,na,na,na,na,13499.26
vax7777,All,50,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7777,All,50,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
